variant,label,lmax,nlev,nlat,nphi,nlm,nthreads,precision,t_step_s,t_transform_frac,t_gridpoint_frac,t_solve_frac,core_s_per_year,model_years_per_day
batched,T31L16,31,16,48,96,528,1,double,3.92142296E-03,.931559,.041856,.026584,6.87033302E+01,1.25758096E+03
batched,T31L16,31,16,48,96,528,128,double,2.21084356E-03,.915603,.066225,.018172,4.95794934E+03,2.23059964E+03
batched,T31L16,31,16,48,96,528,16,double,1.22184992E-03,.835834,.144146,.020020,3.42508969E+02,4.03609869E+03
batched,T31L16,31,16,48,96,528,2,double,2.14725256E-03,.915536,.059796,.024667,7.52397297E+01,2.29665897E+03
batched,T31L16,31,16,48,96,528,32,double,1.26578569E-03,.831216,.151781,.017003,7.09650092E+02,3.89600457E+03
batched,T31L16,31,16,48,96,528,4,double,1.21219635E-03,.891905,.084235,.023860,8.49507202E+01,4.06824097E+03
batched,T31L16,31,16,48,96,528,64,double,1.29594326E-03,.896740,.082556,.020704,1.45311526E+03,3.80534164E+03
batched,T31L16,31,16,48,96,528,8,double,1.23854160E-03,.864182,.114083,.021735,1.73593991E+02,3.98170464E+03
batched,T42L19,42,19,64,128,946,1,double,1.03450751E-02,.915429,.063725,.020846,1.81245716E+02,4.76700922E+02
batched,T42L19,42,19,64,128,946,128,double,3.52353573E-03,.926499,.047341,.026160,7.90174028E+03,1.39959042E+03
batched,T42L19,42,19,64,128,946,16,double,2.46979237E-03,.827130,.154371,.018499,6.92332196E+02,1.99672933E+03
batched,T42L19,42,19,64,128,946,2,double,5.36152363E-03,.909035,.069565,.021400,1.87867788E+02,9.19795788E+02
batched,T42L19,42,19,64,128,946,32,double,2.55359411E-03,.832768,.150691,.016542,1.43164700E+03,1.93120231E+03
batched,T42L19,42,19,64,128,946,4,double,2.93841124E-03,.899296,.080010,.020694,2.05923859E+02,1.67829022E+03
batched,T42L19,42,19,64,128,946,64,double,2.54154921E-03,.893903,.086655,.019442,2.84978829E+03,1.94035466E+03
batched,T42L19,42,19,64,128,946,8,double,2.60021448E-03,.858457,.115035,.026508,3.64446062E+02,1.89657695E+03
shtns,T31L16,31,16,48,96,528,1,double,2.40281820E-03,.889704,.067380,.042916,4.20973749E+01,2.05238451E+03
shtns,T31L16,31,16,48,96,528,128,double,2.11790848E-02,.948716,.030215,.021069,4.74953684E+04,2.32847968E+02
shtns,T31L16,31,16,48,96,528,16,double,2.90715694E-03,.946865,.044917,.008218,8.14934235E+02,1.69633320E+03
shtns,T31L16,31,16,48,96,528,2,double,1.77254915E-03,.897765,.071892,.030343,6.21101223E+01,2.78215520E+03
shtns,T31L16,31,16,48,96,528,32,double,5.54923058E-03,.978357,.017898,.003746,3.11112063E+03,8.88682995E+02
shtns,T31L16,31,16,48,96,528,4,double,1.23732328E-03,.915163,.060817,.024021,8.67116158E+01,3.98562519E+03
shtns,T31L16,31,16,48,96,528,64,double,9.43445921E-03,.957836,.029989,.012176,1.05786704E+04,5.22712192E+02
shtns,T31L16,31,16,48,96,528,8,double,2.01993942E-03,.919175,.066732,.014093,2.83114709E+02,2.44141324E+03
shtns,T42L19,42,19,64,128,946,1,double,5.71223497E-03,.879501,.081888,.038610,1.00078357E+02,8.63323528E+02
shtns,T42L19,42,19,64,128,946,128,double,1.16803279E-01,.991477,.004646,.003878,2.61938361E+05,4.22206200E+01
shtns,T42L19,42,19,64,128,946,16,double,5.25618315E-03,.937372,.053288,.009340,1.47341326E+03,9.38229645E+02
shtns,T42L19,42,19,64,128,946,2,double,4.39941883E-03,.902244,.071430,.026325,1.54155636E+02,1.12094507E+03
shtns,T42L19,42,19,64,128,946,32,double,7.48396635E-03,.961625,.032491,.005884,4.19581089E+03,6.58942948E+02
shtns,T42L19,42,19,64,128,946,4,double,2.40260363E-03,.886056,.088434,.025510,1.68374462E+02,2.05256780E+03
shtns,T42L19,42,19,64,128,946,64,double,2.92948842E-02,.985987,.010229,.003784,3.28477678E+04,1.68340206E+02
shtns,T42L19,42,19,64,128,946,8,double,3.37577105E-03,.898102,.083281,.018616,4.73148070E+02,1.46085347E+03
